date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-05-27,5964,4132,5809,2301,,6617,1776,2269,3644,,1512,2390.0,3754,5005,2959,195,,2989,3567,4461,660,5,27,0.0,0.0,57.0
2015-05-28,4657,3156,4376,1858,,5368,1485,1862,2991,,1204,1838.0,3095,4064,2498,142,,2519,2922,3707,578,5,28,0.8,0.0,48.0
2015-05-29,7093,6153,7322,2719,,7772,2174,2872,4867,,3059,3339.0,7197,7695,3782,332,,4342,5166,5017,717,5,29,0.1,0.0,31.0
2015-05-30,3304,3716,3783,1250,,3608,1082,1163,1899,,1162,1729.0,3563,4604,1550,83,,1733,3046,1624,200,5,30,0.0,0.0,67.0
2015-05-31,2430,3524,3329,1720,,3324,945,790,3034,,785,1478.0,7921,5636,1153,71,,2579,3126,2207,187,5,31,6.6,0.0,46.0
2015-06-01,3319,2178,3011,1304,,3652,939,1067,2074,,338,1075.0,2311,2794,1508,85,,1778,2465,2704,326,6,1,6.4,0.0,44.0
2015-06-02,3158,2037,2814,1266,,3666,1003,1074,1982,,327,1240.0,2240,2800,1551,90,,1644,2213,2551,229,6,2,8.1,0.0,33.0
2015-06-03,6444,4736,5983,2616,,6951,1919,2609,3882,,1244,3194.0,4443,5530,3477,189,,3078,3992,4532,659,6,3,6.9,0.0,31.0
2015-06-04,7242,5461,6843,2863,,7905,2183,3014,4272,,1487,3595.0,4829,6210,4118,183,,3193,4092,5039,768,6,4,1.7,0.0,31.0
2015-06-05,4074,2763,3660,1490,,4590,1154,1433,2618,,559,1750.0,2849,3808,1947,151,,1695,2712,2922,431,6,5,0.0,0.0,46.0
2015-06-06,4310,4527,4770,1561,,4326,1334,1841,2125,,1538,2658.0,4462,5061,2342,109,,1868,3187,2178,334,6,6,3.6,0.0,44.0
2015-06-07,3592,4261,4262,1542,,3804,1241,1682,1982,,1629,3237.0,4059,4851,2009,72,,1596,2720,1762,294,6,7,3.3,0.0,43.0
2015-06-08,1705,1271,1737,853,,2253,619,625,1238,,168,710.0,1523,1936,940,75,,1021,1411,1456,176,6,8,0.0,0.0,44.0
2015-06-09,3388,2180,3065,1537,,3785,1035,1281,2206,,515,1382.0,2346,3093,1722,101,,1754,2313,2546,350,6,9,0.0,0.0,31.0
2015-06-10,6341,4437,5744,2684,,6467,1816,2742,3750,,2338,2918.0,4138,5317,3482,192,,3077,3593,4197,673,6,10,0.0,0.0,39.0
2015-06-11,6136,4232,5644,2261,,6462,1716,2420,3608,,1802,2540.0,4009,4825,3195,171,,2908,3665,4136,649,6,11,0.0,0.0,56.0
2015-06-12,3600,2547,3407,1329,,3965,1008,1474,2410,,923,1505.0,2539,3365,1894,133,,1687,2543,2693,430,6,12,0.5,0.0,32.0
2015-06-13,5493,4943,5433,1577,,4630,1604,2176,2157,,3327,2818.0,4891,5588,2723,184,,2322,3213,2040,522,6,13,0.0,0.0,41.0
2015-06-14,5253,5064,5531,1713,,4535,1579,2360,2540,,3878,3195.0,5053,5951,2848,120,,2007,3174,2210,350,6,14,0.0,0.0,31.0
2015-06-15,4427,3165,4169,1884,,5124,1380,1747,2786,,1493,1950.0,3118,4321,2322,107,,2091,2623,3254,486,6,15,0.0,0.0,41.0
2015-06-16,3120,1969,2757,1179,,3516,985,1032,1884,,709,1289.0,1998,2688,1473,122,,1341,1943,2217,291,6,16,0.0,0.0,37.0
2015-06-17,7387,5303,7003,2941,,7669,2133,2994,4131,,3317,3755.0,4893,6221,3805,157,,2873,3912,4698,729,6,17,1.8,0.0,31.0
2015-06-18,6520,4688,6113,2473,,6766,1965,2618,3720,,2324,2778.0,4197,5348,3295,175,,2633,2269,4246,689,6,18,0.0,0.0,46.0
2015-06-19,6273,4715,5943,2251,,6755,1844,2621,3552,,2248,2691.0,4501,5163,3417,195,,2618,3605,4026,670,6,19,1.8,0.0,44.0
2015-06-20,5523,5066,5504,1590,,4846,1751,2220,2264,,3938,2998.0,4400,5634,2669,193,,1982,3168,2219,338,6,20,0.8,0.0,31.0
2015-06-21,2157,2369,2586,938,,2853,876,918,1271,,1090,1322.0,2673,3140,1129,63,,1001,1883,1246,158,6,21,0.0,0.0,33.0
2015-06-22,5346,4204,5538,2353,,6040,1868,2350,3381,,2092,2839.0,3939,5167,3143,163,,2126,3311,3954,632,6,22,0.0,0.0,31.0
2015-06-23,4062,3171,4193,1579,,4643,1216,1520,2439,,966,1673.0,2781,4142,1968,136,,1746,2702,2902,390,6,23,0.0,0.0,70.0
2015-06-24,4818,5447,5085,1759,,4076,1688,2293,2102,,4787,3704.0,4016,5687,2742,138,,1566,3128,1800,339,6,24,0.0,0.0,46.0
2015-06-25,5953,4986,6312,2494,,7027,1911,2573,3698,,2340,3004.0,4199,5321,3396,217,,2599,3314,4362,773,6,25,1.1,0.0,33.0
2015-06-26,6768,4938,6539,2140,,6916,1882,2865,3450,,2558,3056.0,4213,5758,3737,153,,3063,3648,3860,629,6,26,0.0,0.0,35.0
2015-06-27,5175,4399,5065,1347,,4614,1388,2181,2234,,3908,2859.0,3810,5035,2804,124,,1863,3145,1874,325,6,27,0.0,0.0,31.0
